K6378K03R00B  C2003 09 04.15049 17 22 59.03 -06 38 14.5          17.0 Rri4160448
K6378K03R00B  C2003 09 04.15917 17 22 59.24 -06 37 34.6          17.5  ci4160704
K6378K03R00B  C2003 09 04.17167 17 22 59.51 -06 36 35.5          17.1  ci4160704
K6378K03R00B 1C2003 09 07.43322217 25 31.337-02 03 17.91         16.8 Rri4592413
K6378K03R00B 1C2003 09 07.43461617 25 31.375-02 03 10.46         17.0 Rri4592413
K6378K03R00B 1C2003 09 07.43599917 25 31.420-02 03 03.02         16.9 Rri4592413
K6378K03R00B  C2003 09 08.14176 17 26 09.19 -01 01 14.2          16.9 Rri4160448
K6378K03R00B  C2003 09 08.14237 17 26 09.19 -01 01 11.0          17.2 Rri4160448
K6378K03R00B  C2003 09 08.14283 17 26 09.22 -01 01 08.4          17.2 Rri4160448
K6378K03R00B 1C2003 09 08.50973 17 26 27.99 -00 26 23.8          16.9 Rri4160413
K6378K03R00B 1C2003 09 08.51112 17 26 28.03 -00 26 16.1          16.8 Rri4160413
K6378K03R00B 1C2003 09 08.51251 17 26 28.09 -00 26 08.5          16.8 Rri4160413
K6378K03R00B  C2003 09 08.79184 17 26 45.47 -00 02 00.0                di4592A50
K6378K03R00B  C2003 09 08.79359 17 26 45.54 -00 01 50.4                di4592A50
K6378K03R00B  C2003 09 08.79553 17 26 45.63 -00 01 39.8                di4592A50
K6378K03R00B  C2003 09 08.79747 17 26 45.72 -00 01 28.4          16.4 Vdi4592A50
K6378K03R00B  C2003 09 08.79902 17 26 45.76 -00 01 19.9                di4592A50
K6378K03R00B  C2003 09 08.80134 17 26 45.90 -00 01 07.4                di4592A50
K6378K03R00B  C2003 09 08.80212 17 26 45.90 -00 01 03.5                di4592A50
K6378K03R00B  C2003 09 08.80328 17 26 45.96 -00 00 56.4          16.4 Vdi4592A50
K6378K03R00B  C2003 09 08.80367 17 26 45.95 -00 00 54.4                di4592A50
K6378K03R00B  C2003 09 09.78558 17 27 44.10 +01 31 40.8          17   Rci4592461
K6378K03R00B  C2003 09 09.78640 17 27 44.10 +01 31 45.7                ci4592461
K6378K03R00B  C2003 09 09.78722 17 27 44.24 +01 31 49.8                ci4592461
K6378K03R00B  C2003 09 09.78804 17 27 44.22 +01 31 53.7                ci4592461
K6378K03R00B  C2003 09 09.78885 17 27 44.22 +01 31 58.7                ci4592461
K6378K03R00B  C2003 09 09.82563 17 27 45.57 +01 35 27.2                di4592A50
K6378K03R00B  C2003 09 09.82718 17 27 45.66 +01 35 36.6                di4592A50
K6378K03R00B  C2003 09 09.82912 17 27 45.76 +01 35 48.4                di4592A50
K6378K03R00B  C2003 09 09.83144 17 27 45.84 +01 36 01.7                di4592A50
K6378K03R00B  C2003 09 09.83338 17 27 45.92 +01 36 11.4                di4592A50
K6378K03R00B  C2003 09 09.83493 17 27 46.04 +01 36 21.1                di4592A50
K6378K03R00B  C2003 09 09.83648 17 27 46.11 +01 36 29.8                di4592A50
